team,player,minute,x,y
Argentina,Rodrigo Javier De Paul,45,49.0,72.4
Argentina,Alexis Mac Allister,46,42.2,4.4
Argentina,Lionel Andrés Messi Cuccittini,46,46.3,61.8
Argentina,Lionel Andrés Messi Cuccittini,46,58.5,55.3
Argentina,Nahuel Molina Lucero,46,14.6,72.0
France,Theo Bernard François Hernández,46,108.9,10.6
Argentina,Julián Álvarez,47,97.8,55.8
France,Theo Bernard François Hernández,48,15.7,14.3
France,Randal Kolo Muani,48,67.6,75.0
Argentina,Julián Álvarez,49,64.9,34.8
Argentina,Lionel Andrés Messi Cuccittini,49,41.1,70.5
Argentina,Nahuel Molina Lucero,49,33.4,71.8
France,Randal Kolo Muani,49,93.9,54.5
France,Jules Koundé,50,24.0,74.8
Argentina,Enzo Fernandez,50,86.9,8.7
France,Kylian Mbappé Lottin,51,63.6,42.1
Argentina,Julián Álvarez,51,81.1,9.1
Argentina,Lionel Andrés Messi Cuccittini,51,79.0,7.0
Argentina,Enzo Fernandez,51,56.7,4.6
France,Jules Koundé,45,55.2,77.2
France,Aurélien Djani Tchouaméni,45,57.2,53.6
France,Dayotchanculle Upamecano,45,24.7,54.1
Argentina,Julián Álvarez,46,76.8,8.3
Argentina,Julián Álvarez,46,66.4,39.7
France,Marcus Thuram,47,113.4,18.3
Argentina,Nahuel Molina Lucero,47,67.0,77.8
Argentina,Alexis Mac Allister,48,98.6,48.0
France,Randal Kolo Muani,48,39.6,52.8
Argentina,Nicolás Alejandro Tagliafico,48,81.3,9.4
France,Jules Koundé,48,37.1,67.1
France,Randal Kolo Muani,48,39.0,72.4
Argentina,Alexis Mac Allister,48,81.1,12.6
France,Antoine Griezmann,48,44.8,65.4
France,Adrien Rabiot,48,39.7,32.4
Argentina,Rodrigo Javier De Paul,48,81.1,74.0
Argentina,Rodrigo Javier De Paul,49,62.9,73.3
Argentina,Alexis Mac Allister,49,40.9,65.8
France,Marcus Thuram,49,114.3,26.0
France,Adrien Rabiot,50,40.5,5.7
France,Adrien Rabiot,50,54.6,2.3
France,Randal Kolo Muani,50,74.9,69.7
France,Aurélien Djani Tchouaméni,50,57.4,64.3
France,Randal Kolo Muani,50,64.9,71.4
Argentina,Enzo Fernandez,50,15.2,19.4
France,Theo Bernard François Hernández,51,12.5,14.9
France,Marcus Thuram,51,12.5,10.0
France,Marcus Thuram,51,10.8,6.4
France,Dayotchanculle Upamecano,53,7.3,16.8
Argentina,Nahuel Molina Lucero,53,112.8,70.8
France,Adrien Rabiot,53,46.5,6.4
Argentina,Enzo Fernandez,54,30.0,70.3
France,Aurélien Djani Tchouaméni,54,92.3,4.6
France,Adrien Rabiot,54,77.9,8.3
France,Kylian Mbappé Lottin,55,84.8,13.2
France,Raphaël Varane,55,54.0,40.8
Argentina,Nicolás Alejandro Tagliafico,56,55.0,22.6
Argentina,Lionel Andrés Messi Cuccittini,56,53.3,66.0
Argentina,Ángel Fabián Di María Hernández,56,19.5,10.2
Argentina,Nicolás Alejandro Tagliafico,56,7.5,22.2
Argentina,Nicolás Alejandro Tagliafico,57,6.9,18.6
Argentina,Julián Álvarez,57,37.7,13.2
France,Kylian Mbappé Lottin,57,56.5,10.6
France,Marcus Thuram,58,54.2,6.1
Argentina,Nicolás Alejandro Tagliafico,59,71.5,16.6
France,Jules Koundé,59,14.4,56.6
France,Adrien Rabiot,59,11.6,32.7
Argentina,Julián Álvarez,61,81.1,45.5
Argentina,Enzo Fernandez,62,85.4,55.1
Argentina,Cristian Gabriel Romero,62,61.6,57.1
Argentina,Nicolás Alejandro Tagliafico,62,66.6,51.1
Argentina,Ángel Fabián Di María Hernández,63,8.6,16.9
France,Marcus Thuram,64,62.9,55.8
France,Marcus Thuram,64,79.4,50.0
France,Randal Kolo Muani,64,74.3,73.1
France,Antoine Griezmann,64,38.1,62.4
Argentina,Marcos Javier Acuña,64,105.3,10.2
Argentina,Julián Álvarez,65,57.6,37.6
France,Randal Kolo Muani,66,104.7,74.4
France,Randal Kolo Muani,66,104.2,74.4
France,Marcus Thuram,66,114.5,64.5
Argentina,Julián Álvarez,66,31.5,12.4
Argentina,Lionel Andrés Messi Cuccittini,66,55.0,57.3
Argentina,Rodrigo Javier De Paul,68,64.9,46.6
France,Antoine Griezmann,68,73.0,8.1
France,Marcus Thuram,68,67.4,26.0
France,Randal Kolo Muani,68,68.9,60.9
Argentina,Marcos Javier Acuña,68,65.3,5.3
Argentina,Marcos Javier Acuña,68,51.4,16.0
Argentina,Enzo Fernandez,68,41.1,24.1
Argentina,Lionel Andrés Messi Cuccittini,69,53.3,56.4
Argentina,Nahuel Molina Lucero,69,8.2,70.1
France,Aurélien Djani Tchouaméni,69,105.1,5.7
France,Theo Bernard François Hernández,69,105.1,5.7
France,Aurélien Djani Tchouaméni,69,89.9,8.1
Argentina,Lionel Andrés Messi Cuccittini,70,14.6,58.3
Argentina,Marcos Javier Acuña,71,71.1,5.7
Argentina,Nicolás Alejandro Tagliafico,71,66.4,4.9
France,Kingsley Coman,71,48.6,68.2
France,Aurélien Djani Tchouaméni,71,9.9,63.0
France,Kingsley Coman,71,12.5,68.8
Argentina,Julián Álvarez,71,65.5,63.1
Argentina,Julián Álvarez,71,57.4,69.7
Argentina,Julián Álvarez,72,53.7,45.7
Argentina,Rodrigo Javier De Paul,72,26.1,68.4
Argentina,Nicolás Alejandro Tagliafico,72,25.7,11.1
Argentina,Enzo Fernandez,74,55.2,74.2
France,Kylian Mbappé Lottin,74,82.2,5.7
France,Dayotchanculle Upamecano,74,33.6,14.5
France,Eduardo Camavinga,74,18.0,5.3
Argentina,Julián Álvarez,74,86.5,62.2
France,Randal Kolo Muani,75,66.6,57.7
France,Eduardo Camavinga,76,41.1,7.4
France,Marcus Thuram,76,22.3,5.3
France,Dayotchanculle Upamecano,77,11.4,21.3
France,Kingsley Coman,77,66.6,62.0
France,Jules Koundé,77,61.9,68.4
France,Marcus Thuram,77,66.6,44.6
France,Marcus Thuram,77,61.0,10.6
France,Dayotchanculle Upamecano,77,47.1,4.4
France,Adrien Rabiot,78,46.9,14.3
France,Adrien Rabiot,78,50.1,4.9
Argentina,Nicolás Hernán Otamendi,78,30.2,57.1
France,Marcus Thuram,79,74.1,11.7
France,Randal Kolo Muani,79,94.4,50.0
Argentina,Nahuel Molina Lucero,80,48.6,77.8
France,Adrien Rabiot,80,73.6,29.7
France,Kingsley Coman,80,66.4,46.8
France,Randal Kolo Muani,82,79.6,36.7
France,Raphaël Varane,82,7.8,68.4
France,Raphaël Varane,83,22.1,67.1
France,Kingsley Coman,83,6.0,68.6
France,Randal Kolo Muani,83,45.8,32.2
France,Randal Kolo Muani,83,40.3,25.6
Argentina,Nahuel Molina Lucero,83,71.3,75.7
France,Eduardo Camavinga,83,46.3,16.2
Argentina,Nahuel Molina Lucero,83,29.6,63.5
Argentina,Enzo Fernandez,83,29.1,61.1
Argentina,Julián Álvarez,84,74.7,19.8
Argentina,Nicolás Hernán Otamendi,85,40.5,12.8
Argentina,Nahuel Molina Lucero,86,16.7,55.8
Argentina,Enzo Fernandez,86,13.7,51.7
Argentina,Enzo Fernandez,86,13.5,52.4
Argentina,Nicolás Alejandro Tagliafico,89,8.2,15.8
Argentina,Julián Álvarez,90,47.5,23.5
France,Aurélien Djani Tchouaméni,90,58.9,53.2
France,Randal Kolo Muani,90,60.2,35.9
Argentina,Enzo Fernandez,91,38.8,53.6
Argentina,Cristian Gabriel Romero,91,31.5,55.8
France,Kingsley Coman,92,96.5,50.6
France,Kingsley Coman,92,97.8,65.4
France,Kylian Mbappé Lottin,92,92.7,21.5
France,Eduardo Camavinga,92,55.5,5.7
Argentina,Enzo Fernandez,92,27.8,60.1
Argentina,Julián Álvarez,93,20.8,77.4
Argentina,Enzo Fernandez,93,4.3,64.6
Argentina,Enzo Fernandez,93,1.8,59.0
France,Randal Kolo Muani,93,116.0,36.1
France,Eduardo Camavinga,94,68.1,16.0
France,Eduardo Camavinga,94,51.8,4.9
France,Adrien Rabiot,94,21.0,14.5
Argentina,Cristian Gabriel Romero,95,75.3,72.7
Argentina,Enzo Fernandez,95,23.8,56.4
France,Randal Kolo Muani,95,112.4,21.3
France,Adrien Rabiot,95,46.0,15.8
Argentina,Nicolás Alejandro Tagliafico,95,94.8,25.6
Argentina,Marcos Javier Acuña,97,95.2,24.8
Argentina,Marcos Javier Acuña,98,31.9,9.6
France,Adrien Rabiot,98,95.2,50.4
France,Raphaël Varane,98,85.6,49.8
France,Randal Kolo Muani,90,82.2,62.6
France,Kingsley Coman,90,73.2,64.1
France,Adrien Rabiot,90,69.6,37.2
France,Marcus Thuram,91,46.0,8.1
France,Eduardo Camavinga,91,28.7,7.4
France,Jules Koundé,92,69.1,72.5
France,Eduardo Camavinga,92,22.7,25.0
Argentina,Lionel Andrés Messi Cuccittini,92,101.0,59.2
Argentina,Julián Álvarez,94,62.3,23.5
Argentina,Nicolás Hernán Otamendi,94,31.3,27.7
France,Randal Kolo Muani,94,82.4,32.9
France,Jules Koundé,94,68.9,63.7
France,Randal Kolo Muani,94,83.7,55.4
France,Jules Koundé,94,82.6,58.1
France,Kylian Mbappé Lottin,94,105.5,41.9
Argentina,Gonzalo Ariel Montiel,95,40.5,73.1
Argentina,Julián Álvarez,95,52.5,38.2
France,Jules Koundé,97,72.1,68.2
France,Randal Kolo Muani,98,83.2,11.3
Argentina,Gonzalo Ariel Montiel,98,27.0,71.2
Argentina,Enzo Fernandez,98,21.0,55.1
