team,player,minute,x_start,y_start,x_end,y_end
France,Adrien Rabiot,49,47.5,22.2,55.0,22.6
France,Antoine Griezmann,49,55.0,22.6,66.6,13.4
Argentina,Nahuel Molina Lucero,49,53.5,66.7,65.1,64.6
France,Antoine Griezmann,49,55.0,15.5,54.4,20.7
France,Adrien Rabiot,49,55.7,16.0,65.3,7.0
France,Theo Bernard François Hernández,49,69.8,0.1,51.8,11.1
Argentina,Nahuel Molina Lucero,50,67.6,80.0,75.1,75.2
Argentina,Lionel Andrés Messi Cuccittini,50,77.5,74.6,63.4,77.8
Argentina,Nahuel Molina Lucero,50,61.6,77.2,15.2,55.4
Argentina,Damián Emiliano Martínez,50,15.0,54.3,25.5,25.4
Argentina,Nicolás Hernán Otamendi,50,31.3,22.8,44.7,5.7
Argentina,Nicolás Alejandro Tagliafico,50,44.7,6.4,62.5,12.8
Argentina,Alexis Mac Allister,50,62.5,13.0,60.8,13.4
Argentina,Alexis Mac Allister,50,43.0,6.8,33.4,9.6
France,Randal Kolo Muani,50,86.5,67.7,96.5,60.0
France,Antoine Griezmann,51,120.0,80.0,112.6,36.9
Argentina,Damián Emiliano Martínez,51,15.4,46.2,36.0,75.7
Argentina,Ángel Fabián Di María Hernández,51,70.6,65.8,92.4,60.7
Argentina,Lionel Andrés Messi Cuccittini,51,92.4,60.9,111.9,70.1
Argentina,Nahuel Molina Lucero,51,110.8,80.0,107.4,72.5
Argentina,Rodrigo Javier De Paul,51,108.5,71.6,112.3,78.0
Argentina,Nahuel Molina Lucero,51,112.8,77.0,113.8,73.1
Argentina,Lionel Andrés Messi Cuccittini,52,120.0,80.0,117.9,49.8
Argentina,Nahuel Molina Lucero,53,106.4,80.0,113.0,66.9
Argentina,Julián Álvarez,53,114.1,71.0,108.9,74.6
France,Marcus Thuram,53,5.2,7.0,62.1,17.9
Argentina,Nicolás Hernán Otamendi,53,55.9,65.8,72.3,75.7
Argentina,Rodrigo Javier De Paul,53,68.3,75.2,34.3,30.3
Argentina,Damián Emiliano Martínez,53,34.3,30.3,39.4,35.0
Argentina,Enzo Fernandez,53,39.4,35.0,59.3,11.7
France,Jules Koundé,53,60.8,68.4,79.2,70.5
France,Antoine Griezmann,53,79.4,70.5,67.0,69.5
France,Aurélien Djani Tchouaméni,53,63.6,73.3,55.7,42.3
France,Dayotchanculle Upamecano,53,64.4,45.9,71.9,23.2
France,Adrien Rabiot,53,65.3,30.1,67.0,42.9
France,Aurélien Djani Tchouaméni,53,67.0,42.9,56.7,34.2
France,Dayotchanculle Upamecano,53,63.4,31.8,70.6,13.8
France,Kylian Mbappé Lottin,53,74.1,15.1,76.9,18.1
France,Aurélien Djani Tchouaméni,54,80.7,19.8,94.0,2.3
France,Theo Bernard François Hernández,54,94.0,2.3,90.1,9.8
France,Aurélien Djani Tchouaméni,54,90.1,12.1,100.0,15.3
Argentina,Rodrigo Javier De Paul,54,22.5,71.8,31.3,77.8
Argentina,Enzo Fernandez,54,31.3,77.2,40.0,73.3
Argentina,Rodrigo Javier De Paul,55,53.5,76.5,33.0,72.9
Argentina,Cristian Gabriel Romero,55,35.5,72.7,63.8,36.7
Argentina,Alexis Mac Allister,55,64.2,37.0,76.6,26.0
France,Jules Koundé,56,43.5,54.1,57.8,57.0
France,Jules Koundé,56,59.1,57.3,63.2,65.2
France,Aurélien Djani Tchouaméni,56,63.2,65.2,52.9,37.8
France,Dayotchanculle Upamecano,56,52.7,33.9,62.5,6.4
France,Theo Bernard François Hernández,56,61.9,3.1,62.1,11.7
France,Adrien Rabiot,56,64.4,10.6,56.5,2.3
France,Theo Bernard François Hernández,56,56.5,2.3,40.9,13.0
France,Dayotchanculle Upamecano,56,40.9,15.5,42.4,49.6
France,Raphaël Varane,56,42.4,49.6,37.9,20.9
France,Dayotchanculle Upamecano,56,47.5,29.7,62.7,69.2
France,Jules Koundé,56,114.7,73.5,115.1,70.1
France,Jules Koundé,57,114.5,80.0,111.9,63.5
France,Randal Kolo Muani,57,112.6,63.9,94.6,50.4
France,Adrien Rabiot,57,94.6,50.4,80.7,68.2
France,Raphaël Varane,57,72.1,66.9,29.4,51.5
France,Hugo Lloris,57,30.9,50.4,45.8,22.6
France,Dayotchanculle Upamecano,57,47.3,22.6,63.4,3.4
France,Theo Bernard François Hernández,57,45.4,2.9,56.7,9.1
Argentina,Enzo Fernandez,57,58.4,67.1,63.8,74.6
Argentina,Lionel Andrés Messi Cuccittini,58,67.6,71.8,63.1,76.1
Argentina,Nahuel Molina Lucero,58,63.4,74.2,89.9,11.9
France,Jules Koundé,58,30.2,68.2,40.7,68.6
Argentina,Nicolás Alejandro Tagliafico,58,79.4,11.5,82.8,16.0
Argentina,Ángel Fabián Di María Hernández,58,84.7,20.3,98.2,26.7
France,Hugo Lloris,58,7.8,44.4,50.5,25.2
France,Dayotchanculle Upamecano,58,50.5,22.8,44.3,37.2
France,Raphaël Varane,58,45.2,42.1,49.7,23.0
France,Dayotchanculle Upamecano,58,52.0,22.4,55.7,5.5
France,Theo Bernard François Hernández,58,55.5,5.5,94.0,26.2
Argentina,Damián Emiliano Martínez,59,29.6,48.5,81.1,5.9
France,Jules Koundé,59,39.0,74.2,45.8,64.3
France,Randal Kolo Muani,59,46.5,63.7,44.1,59.6
France,Aurélien Djani Tchouaméni,59,44.1,59.6,62.5,66.5
Argentina,Nicolás Alejandro Tagliafico,59,57.6,13.6,76.6,8.9
Argentina,Ángel Fabián Di María Hernández,59,112.1,22.4,106.6,37.0
France,Hugo Lloris,60,6.0,36.0,83.7,65.0
Argentina,Nicolás Alejandro Tagliafico,60,36.4,15.1,39.4,22.0
Argentina,Enzo Fernandez,60,39.4,22.0,70.6,20.1
France,Dayotchanculle Upamecano,60,50.8,60.3,66.4,11.3
Argentina,Nahuel Molina Lucero,61,40.3,80.0,46.5,73.3
Argentina,Rodrigo Javier De Paul,61,46.5,73.3,37.3,77.6
Argentina,Nahuel Molina Lucero,61,37.3,77.6,37.0,69.0
Argentina,Enzo Fernandez,61,36.4,69.3,46.5,75.5
Argentina,Rodrigo Javier De Paul,61,45.4,74.2,70.6,80.0
France,Theo Bernard François Hernández,61,52.0,0.1,48.4,6.4
France,Dayotchanculle Upamecano,61,34.5,12.1,36.4,35.9
France,Raphaël Varane,61,36.2,38.9,32.1,60.7
France,Jules Koundé,61,32.1,60.7,14.0,38.2
France,Hugo Lloris,61,14.0,38.0,24.7,25.6
France,Dayotchanculle Upamecano,61,36.9,25.6,44.3,4.0
France,Theo Bernard François Hernández,61,49.3,3.6,64.0,3.6
France,Marcus Thuram,61,64.2,3.4,67.4,9.3
Argentina,Enzo Fernandez,61,42.2,68.2,46.7,74.4
France,Marcus Thuram,61,85.4,21.1,85.6,35.0
France,Antoine Griezmann,61,85.4,32.0,105.1,14.9
France,Theo Bernard François Hernández,61,104.9,14.9,113.2,36.1
France,Theo Bernard François Hernández,62,86.0,0.1,77.1,16.2
France,Aurélien Djani Tchouaméni,62,77.1,16.2,68.5,49.3
France,Raphaël Varane,62,80.5,58.5,90.5,54.3
Argentina,Alexis Mac Allister,62,57.8,35.5,57.8,45.5
Argentina,Lionel Andrés Messi Cuccittini,62,64.0,43.4,90.5,25.8
Argentina,Julián Álvarez,62,90.5,25.6,111.9,43.6
France,Jules Koundé,62,19.3,50.2,32.4,25.8
France,Adrien Rabiot,62,35.1,21.5,55.9,23.5
France,Marcus Thuram,62,53.5,25.4,51.0,31.4
France,Aurélien Djani Tchouaméni,62,52.5,26.5,57.4,11.9
France,Theo Bernard François Hernández,62,61.2,7.8,71.3,2.5
France,Kylian Mbappé Lottin,62,71.3,2.5,68.1,14.3
France,Antoine Griezmann,63,73.4,16.2,84.3,14.9
France,Adrien Rabiot,63,84.3,14.7,89.5,9.6
France,Kylian Mbappé Lottin,63,97.6,17.7,102.7,17.5
France,Adrien Rabiot,63,92.0,9.8,83.7,14.7
France,Aurélien Djani Tchouaméni,63,76.4,23.0,113.6,63.2
Argentina,Damián Emiliano Martínez,64,7.0,36.1,71.5,13.6
France,Randal Kolo Muani,64,48.6,66.5,62.9,69.7
Argentina,Nicolás Alejandro Tagliafico,64,56.9,10.4,57.2,20.7
Argentina,Enzo Fernandez,64,57.2,20.7,40.0,17.7
Argentina,Nicolás Hernán Otamendi,64,40.0,18.3,34.5,29.9
Argentina,Cristian Gabriel Romero,64,35.1,30.1,35.5,14.7
Argentina,Nicolás Hernán Otamendi,64,35.5,12.6,46.2,4.0
Argentina,Nicolás Alejandro Tagliafico,64,46.2,5.1,71.3,22.0
Argentina,Julián Álvarez,64,71.3,22.0,68.3,29.3
Argentina,Lionel Andrés Messi Cuccittini,64,74.7,19.8,87.1,5.3
Argentina,Marcos Javier Acuña,64,87.1,5.3,82.0,17.7
Argentina,Alexis Mac Allister,64,94.6,19.2,102.1,14.1
Argentina,Marcos Javier Acuña,64,102.9,14.1,93.1,10.9
Argentina,Lionel Andrés Messi Cuccittini,64,97.8,9.6,100.1,24.3
Argentina,Alexis Mac Allister,64,100.4,24.3,104.4,26.0
France,Aurélien Djani Tchouaméni,64,6.7,54.3,1.8,47.0
France,Hugo Lloris,64,1.8,47.0,29.4,64.1
Argentina,Nicolás Alejandro Tagliafico,64,90.7,16.0,105.9,15.6
France,Jules Koundé,64,5.4,70.9,7.8,71.2
France,Hugo Lloris,65,6.0,44.0,80.1,60.3
Argentina,Nicolás Hernán Otamendi,65,40.0,19.8,57.2,28.0
France,Aurélien Djani Tchouaméni,65,62.9,52.1,74.3,47.4
France,Antoine Griezmann,65,74.3,47.4,62.5,42.5
France,Adrien Rabiot,65,53.3,38.2,45.6,49.8
France,Raphaël Varane,65,45.6,49.8,57.4,6.4
France,Theo Bernard François Hernández,65,63.2,5.9,54.4,13.6
France,Adrien Rabiot,65,53.3,15.1,48.8,25.6
France,Dayotchanculle Upamecano,65,53.1,29.2,106.8,15.5
Argentina,Rodrigo Javier De Paul,65,20.1,64.6,6.9,65.6
Argentina,Nahuel Molina Lucero,65,6.7,65.6,14.2,80.0
France,Antoine Griezmann,65,105.9,0.1,89.7,5.3
France,Theo Bernard François Hernández,65,89.7,5.3,89.5,11.3
France,Adrien Rabiot,65,92.9,10.0,102.9,2.7
France,Antoine Griezmann,66,107.2,3.1,117.3,73.9
France,Randal Kolo Muani,66,117.3,73.9,105.5,76.1
France,Jules Koundé,66,105.7,76.1,109.1,74.8
Argentina,Nicolás Alejandro Tagliafico,66,11.0,5.3,16.1,10.2
Argentina,Alexis Mac Allister,66,3.0,8.9,33.6,19.6
France,Aurélien Djani Tchouaméni,66,87.3,65.8,62.9,62.4
France,Raphaël Varane,66,52.7,53.4,23.4,34.2
France,Hugo Lloris,66,23.2,34.2,33.0,55.3
France,Raphaël Varane,66,33.2,57.7,47.1,63.9
France,Aurélien Djani Tchouaméni,66,49.9,68.4,64.0,76.1
France,Jules Koundé,66,64.0,76.1,41.8,58.3
France,Raphaël Varane,66,42.8,57.0,54.4,51.7
France,Antoine Griezmann,66,54.4,51.7,48.2,25.2
France,Dayotchanculle Upamecano,66,48.2,25.8,63.4,19.2
France,Antoine Griezmann,66,64.2,18.1,75.4,3.6
France,Theo Bernard François Hernández,66,75.4,3.6,75.1,9.8
France,Antoine Griezmann,66,75.1,9.8,94.2,3.4
France,Theo Bernard François Hernández,66,93.7,3.6,107.9,36.3
France,Antoine Griezmann,67,120.0,0.1,113.4,34.6
Argentina,Damián Emiliano Martínez,68,7.0,44.1,74.7,30.1
France,Aurélien Djani Tchouaméni,68,45.4,50.0,67.7,39.9
Argentina,Cristian Gabriel Romero,68,52.4,40.2,64.9,44.7
France,Adrien Rabiot,68,54.4,28.0,64.7,17.5
France,Kylian Mbappé Lottin,68,67.0,18.1,63.6,23.0
France,Antoine Griezmann,68,63.6,23.0,76.4,5.7
